,AAPL,AMZN,GOOGL,MSFT,NVDA
2022-01-04,-0.01269163770087754,-0.016915587005979515,-0.00408307400295747,-0.01714691959813167,-0.027588571137068654
2022-01-05,-0.026600008424925447,-0.018893091563845044,-0.045876256367070566,-0.038387950465197614,-0.057562313885051154
2022-01-06,-0.016693201698872607,-0.006710981961323146,-0.00019943704260549198,-0.007901892486878661,0.02079407021130688
2022-01-07,0.000988374620115057,-0.004287778294336282,-0.005303447698929828,0.0005098064310097962,-0.03303995353237257
2022-01-10,0.00011603657146379681,-0.006570176170610371,0.012060718597043748,0.0007322904793259337,0.0056153216066958805
2022-01-11,0.016784283582231604,0.024002125643924784,0.007691147874114272,0.002259276015545174,0.015218864997928778
2022-01-12,0.002570012767603059,-0.0009373300985386952,0.01212616727764693,0.010444757626022842,0.006542776827559483
2022-01-13,-0.0190283314051407,-0.024169655027437873,-0.020105060367830947,-0.04232225954958318,-0.05085872939966141
2022-01-14,0.005110817931190139,0.005731487003565722,0.0064472776828743555,0.017716636507166043,0.013809875063887662
2022-01-18,-0.018894242401860856,-0.01986273884619019,-0.02496783334335238,-0.024339216687741017,-0.03856441415684156
2022-01-19,-0.02102460696173426,-0.01647710180601349,-0.0064816642636830075,0.0022465758873592683,-0.03227434867511266
2022-01-20,-0.010347190774604624,-0.029632309634156712,-0.013388581652255094,-0.005703174846707463,-0.03658191452895532
2022-01-21,-0.01276500264463045,-0.05950180896147472,-0.02217413508062771,-0.018468158975031776,-0.032132431472527916
2022-01-24,-0.004864555210669097,0.013326983483115347,0.0034711526091477443,0.0011483006167540806,-8.568844368691209e-05
2022-01-25,-0.01138448256214836,-0.03153374554357322,-0.029578515896072737,-0.026588211425089093,-0.044839993373295264
2022-01-26,-0.0005632414339388423,-0.007954330670553542,0.01810391109371713,0.028493096108482083,0.020068326669488358
2022-01-27,-0.0029433879426358465,0.005508645722495668,-0.001764407072437833,0.010549124646876594,-0.03636062726089457
2022-01-28,0.06977782814176871,0.031084056738273746,0.03368865119935582,0.028081761478095105,0.040831167718200945
2022-01-31,0.02612571881394828,0.03886361030218927,0.014641795189539775,0.008823687196861428,0.07206663844573218
2022-02-01,-0.0009727431007170866,0.010830762802234422,0.017298187527907866,-0.007138547187016326,0.006207597553675976
2022-02-02,0.007044304381311154,-0.0038427158906232826,0.07523752072413796,0.015222033086156779,0.024515084702324032
2022-02-03,-0.01672000790332592,-0.07812763251781235,-0.033175776677734095,-0.03895244038941121,-0.05126403547969992
2022-02-04,-0.0016790378354927474,0.13535901735711856,0.0014188217521846533,0.01556849275524179,0.015492038988423147
2022-02-07,-0.004234674690413108,0.001877735318982695,-0.02855676227424666,-0.016310564277677228,0.016818076797942918
2022-02-08,0.01846691816027128,0.022021627828944044,0.001422208939823254,0.011995525679027473,0.015367312662886674
2022-02-09,0.008293549090315768,-0.0013877341505965698,0.015731894602718424,0.021834933271919658,0.06360522899736651
2022-02-10,-0.023598862577145094,-0.013561706274733841,-0.020989844086495856,-0.028373260429887644,-0.03299016423194945
2022-02-11,-0.020218260526995022,-0.035911106743631974,-0.03129066255633103,-0.024273935999124956,-0.0726069312378606
2022-02-14,0.0014231966918464426,0.012221683270054289,0.009260444222227288,-0.00013593908296954954,0.013278278296650813
2022-02-15,0.02315211371607901,0.008658352201907263,0.007987489195740823,0.018542635852052826,0.09181199518555104
2022-02-16,-0.0013886545846891654,0.010159039538768958,0.00826802477828427,-0.0011673915241597432,0.000603819956483992
2022-02-17,-0.021269103388004286,-0.021808901106176712,-0.03774572053020713,-0.029282339319020224,-0.07559119146612456
2022-02-18,-0.009355824256968803,-0.013261957754408204,-0.016115849879620975,-0.009630792786366128,-0.035296050725595524
2022-02-22,-0.01781239450986845,-0.015753494788264887,-0.004520626797641398,-0.00072908097586171,-0.010658996427250033
2022-02-23,-0.02586414696628979,-0.03575624663287666,-0.01714390854401426,-0.025893017648281738,-0.042881509307546334
2022-02-24,0.016680204412990434,0.045095224278192576,0.039996011124717526,0.051093217414727984,0.060794218156021346
2022-02-25,0.012965482626850974,0.016057930128421098,0.013327916367237836,0.009233081376979821,0.017222289822154235
2022-02-28,0.0016379420065271827,-0.0014662630028149512,0.004443743174826058,0.004977855285754542,0.009438330677885607
2022-03-01,-0.011627816963768179,-0.015765550251120215,-0.0073710426368117435,-0.012851631946376955,-0.03723605442720689
