,AAPL,AMZN,GOOGL,MSFT,NVDA
2022-02-03,169.0334014892578,138.8455047607422,141.9170379638672,290.1920471191406,23.900402069091797
2022-02-04,168.7495880126953,157.63949584960938,142.11839294433594,294.70989990234375,24.270668029785156
2022-02-07,168.0349884033203,157.9355010986328,138.05995178222656,289.90301513671875,24.67885398864746
2022-02-08,171.13807678222656,161.4134979248047,138.2563018798828,293.38055419921875,25.058101654052734
2022-02-09,172.5574188232422,161.1894989013672,140.43133544921875,299.7864990234375,26.651927947998047
2022-02-10,168.48526000976562,159.0034942626953,137.48370361328125,291.28057861328125,25.772676467895508
2022-02-11,165.0787811279297,153.2935028076172,133.18174743652344,284.2100524902344,23.90140151977539
2022-02-14,165.313720703125,155.16700744628906,134.41506958007812,284.1714172363281,24.21877098083496
2022-02-15,169.14108276367188,156.510498046875,135.48870849609375,289.4407043457031,26.442344665527344
2022-02-16,168.9062042236328,158.10049438476562,136.6089324951172,289.1028137207031,26.458311080932617
2022-02-17,165.313720703125,154.65249633789062,131.45252990722656,280.63720703125,24.458295822143555
2022-02-18,163.76707458496094,152.60150146484375,129.3340606689453,277.9344482421875,23.595014572143555
2022-02-22,160.84999084472656,150.19749450683594,128.7493896484375,277.7318115234375,23.343515396118164
2022-02-23,156.6897430419922,144.82699584960938,126.54212188720703,270.5404968261719,22.342510223388672
2022-02-24,159.30335998535156,151.35800170898438,131.60330200195312,284.36328125,23.7008056640625
2022-02-25,161.36880493164062,153.7884979248047,133.3572998046875,286.98883056640625,24.10898780822754
2022-02-28,161.63311767578125,153.56300354003906,133.9499053955078,288.41741943359375,24.336536407470703
2022-03-01,159.75367736816406,151.14199829101562,132.96255493164062,284.7107849121094,23.430339813232422
2022-03-02,163.04269409179688,152.05250549316406,133.46839904785156,289.7689208984375,24.175983428955078
2022-03-03,162.71966552734375,147.89849853515625,132.80191040039062,285.64715576171875,23.6709041595459
2022-03-04,159.72425842285156,145.64100646972656,130.82522583007812,279.7974853515625,22.894319534301758
2022-03-07,155.9359893798828,137.4530029296875,125.3425521850586,269.2276306152344,21.313196182250977
2022-03-08,154.1153106689453,136.01449584960938,126.06259155273438,266.27386474609375,21.47490119934082
2022-03-09,159.50894165039062,139.2790069580078,132.32632446289062,278.4846496582031,22.972177505493164
