,AAPL,AMZN,GOOGL,MSFT,NVDA
2022-01-04,-0.012772863431845256,-0.017060289689663746,-0.00409132596562711,-0.017295439501173453,-0.027976348605650344
2022-01-05,-0.02696018786446033,-0.019073846316683307,-0.04696190051559338,-0.039144380989986315,-0.05928555059331442
2022-01-06,-0.016834283430539762,-0.006733601858714689,-0.00019968028884637313,-0.007933177750440338,0.020580963098066823
2022-01-07,0.0009879772426995654,-0.004296997177475961,-0.005317336925071781,0.0005098782845459102,-0.033598101375559575
2022-01-10,0.00011602983974164933,-0.006591854785116594,0.011988344447908214,0.0007317199182549523,0.0055994052116873074
2022-01-11,0.016644627441971187,0.023718602439306714,0.007661722627080967,0.002256929074844339,0.015104222925462417
2022-01-12,0.0025668946828553596,-0.0009377696670975312,0.012053344417199269,0.010390885590079026,0.0065218083966131785
2022-01-13,-0.019211522124826554,-0.024466534551061184,-0.02031002853388577,-0.04324465541528611,-0.052197837289136254
2022-01-14,0.005097892212468779,0.005715124523055335,0.006426473300224598,0.017561735931042027,0.013715246760109115
2022-01-18,-0.019075109499121033,-0.02006265472349509,-0.025284596482881186,-0.024640418287737633,-0.03932749679353662
2022-01-19,-0.021248865452838446,-0.016614359071245203,-0.006502761462213521,0.0022443699050756307,-0.03280664992884894
2022-01-20,-0.010401190970799614,-0.030080217077818206,-0.013479016817740731,-0.005719604490551875,-0.03726789155249786
2022-01-21,-0.012847177783027634,-0.06134555364691525,-0.0224237950564577,-0.018640931622669485,-0.03266001306453138
2022-01-24,-0.004875943755205328,0.01323896043083007,0.0034653777081974607,0.0011479626316629164,-8.552858058019563e-05
2022-01-25,-0.011450364619009916,-0.03204163984338447,-0.030024839182775296,-0.026948174911274103,-0.045876402491001264
2022-01-26,-0.0005632048025579708,-0.007986135126473034,0.017941807035806258,0.028094500918127648,0.019869190672837253
2022-01-27,-0.0029476304895077036,0.005493528624727967,-0.0017657867950893222,0.010493977650228982,-0.037037813330262265
2022-01-28,0.06745089803067163,0.030610731040560255,0.03313344471685437,0.027694595610130174,0.040019761043123096
2022-01-31,0.02579018523226859,0.038127433338896885,0.014535754434139242,0.008784986859668472,0.06958797804437
2022-02-01,-0.0009729485358569373,0.01077253018259915,0.01715050071268552,-0.0071642518632473225,0.006188410267185585
2022-02-02,0.007019342265236715,-0.0038501180924552735,0.07254136313844191,0.015107343456975435,0.024219490122673312
2022-02-03,-0.01686100704838208,-0.08134849507057182,-0.033738467794254726,-0.03973117939311981,-0.05262466423218085
2022-02-04,-0.0016805391183549127,0.1269489157684572,0.0014177086565738386,0.015448443534334487,0.015373261290770001
2022-02-07,-0.004243665934132911,0.001875974577811346,-0.028972660374222324,-0.01644452122573036,0.016678217560699208
2022-02-08,0.018298116925593993,0.02178265381683596,0.001421640336312554,0.011923520475946272,0.015250278022515308
2022-02-09,0.008259702498104588,-0.0013886979453967615,0.015609101679455596,0.02159986795201015,0.06166422968087329
2022-02-10,-0.023881682847423803,-0.013654506185153747,-0.02121326507249931,-0.028783360438663273,-0.033546469025227135
2022-02-11,-0.020425720508045055,-0.03657177570139793,-0.03179056246104889,-0.02457340670154852,-0.07537770109054498
2022-02-14,0.0014222773406802132,0.012147601490993106,0.009217829195982883,-0.00013584094667560285,0.013190893600023165
2022-02-15,0.02288853052873776,0.008621083638872947,0.00795564543961082,0.018372711788039484,0.08783869029690604
2022-02-16,-0.0013899805124687374,0.010107783346743868,0.008234144522560695,-0.0011679680200392408,0.0006035655982109811
2022-02-17,-0.021498550016269085,-0.022050230393006458,-0.03847642339231594,-0.02971940718363717,-0.07860094969077759
2022-02-18,-0.009399864886900103,-0.013350682834785058,-0.016247120577188676,-0.009677576484020699,-0.03593393504528071
2022-02-22,-0.01797284972353372,-0.01587889987657254,-0.00453087519459657,-0.0007295665674663112,-0.01071621045561376
2022-02-23,-0.026204600428704244,-0.03641116014436802,-0.017292685365603907,-0.026234146148712383,-0.043828336573744325
2022-02-24,0.016542521894130142,0.04410800497645022,0.03921687768892352,0.04983100210269286,0.05901798513194367
2022-02-25,0.012882340623086123,0.01593036537376894,0.013240109886182539,0.009190822405640448,0.017075986425078668
2022-02-28,0.0016366018878801538,-0.0014673390183547882,0.0044336700602905,0.00496561148374522,0.009393909700740945
2022-03-01,-0.011696138609573936,-0.015891148369833387,-0.007398343009124728,-0.012935031658477907,-0.03794685843746251
2022-03-02,0.02037907645618755,0.006006111112644554,0.00379707752857361,0.01760937529332066,0.03132772263843971
2022-03-03,-0.001983310439198352,-0.02769967430173762,-0.005006001758639045,-0.014326350534805927,-0.02111277812807822
2022-03-04,-0.018579648309532838,-0.015381483821486462,-0.014996227392564931,-0.020691148559330318,-0.03335795524429397
2022-03-07,-0.024003340443434225,-0.05786267214586164,-0.04281198840661419,-0.03850884693312925,-0.07156239838519728
2022-03-08,-0.011744602449993646,-0.010520594620232346,0.0057281352781338455,-0.011031887634556608,0.007558357686024525
2022-03-09,0.034398885007336774,0.023717698424230754,0.04849248489703007,0.04483781826255098,0.06739894287860801
2022-03-10,-0.027562671557893267,0.05271118653269622,-0.007451352039204849,-0.010137801317061159,-0.015589791429431048
2022-03-11,-0.024199275257264164,-0.008845856240147519,-0.01951299106027313,-0.0195175176638642,-0.024935378248984064
2022-03-14,-0.02692176768824438,-0.025553208143987614,-0.03064483125218923,-0.013045936165777426,-0.035463245641535905
2022-03-15,0.029245624511287562,0.03813139923769891,0.02545334245139693,0.038011239248668616,0.07420528097370423
2022-03-16,0.0286023144191543,0.03819476755459102,0.03110975269501586,0.024900416011231954,0.06419026152996594
