Date,BAC,BNP.PA,C,DBK.DE,JPM
2022-01-03,41.4797477722168,44.069942474365234,53.8562126159668,9.815390586853027,144.19155883789062
2022-01-04,43.10552978515625,45.546142578125,54.27442932128906,10.112932205200195,149.6578369140625
2022-01-05,42.37797164916992,45.60375213623047,53.64283752441406,10.249591827392578,146.92176818847656
2022-01-06,43.23127365112305,46.22303771972656,55.40105056762695,10.509076118469238,148.48269653320312
2022-01-07,44.174407958984375,46.446266174316406,56.14360427856445,10.695904731750488,149.95387268066406
2022-01-10,43.94985580444336,46.086212158203125,56.356990814208984,10.702823638916016,150.09739685058594
2022-01-11,44.20135498046875,46.3454475402832,57.278770446777344,10.65092658996582,150.2499237060547
2022-01-12,43.88698196411133,47.043949127197266,57.42386245727539,10.573081970214844,151.10211181640625
2022-01-13,43.79715347290039,48.21770095825195,57.85061264038086,10.552323341369629,150.91372680664062
2022-01-14,43.033668518066406,47.74243927001953,57.12512969970703,10.339547157287598,141.63803100585938
2022-01-17,,47.56241989135742,,10.394903182983398,
2022-01-18,41.551605224609375,47.53361129760742,55.733924865722656,10.315328598022461,135.69947814941406
2022-01-19,41.713287353515625,47.09435272216797,54.82919692993164,10.192506790161133,133.60031127929688
2022-01-20,41.0935173034668,46.16542434692383,55.016971588134766,10.099092483520508,132.4610595703125
2022-01-21,40.34798812866211,44.962860107421875,54.001304626464844,9.927833557128906,130.14663696289062
2022-01-24,40.01564407348633,43.27783203125,53.51481246948242,9.306804656982422,130.03001403808594
2022-01-25,40.806087493896484,44.68922424316406,54.7182502746582,9.578396797180176,131.44737243652344
2022-01-26,41.22825241088867,46.050209045410156,55.264495849609375,9.877666473388672,132.6942596435547
2022-01-27,40.84201431274414,46.446266174316406,54.752403259277344,10.310139656066895,130.3529510498047
2022-01-28,41.201297760009766,45.20769119262695,55.213287353515625,10.303218841552734,131.51910400390625
2022-01-31,41.443809509277344,45.36611557006836,55.580299377441406,10.599030494689941,133.30430603027344
2022-02-01,42.16239929199219,46.244632720947266,56.80933380126953,10.929439544677734,135.59182739257812
2022-02-02,42.117488861083984,45.70456314086914,56.52769470214844,10.93289852142334,134.50636291503906
2022-02-03,41.70430374145508,45.82698059082031,55.69977951049805,11.469164848327637,133.3939971923828
2022-02-04,43.36600875854492,46.302249908447266,56.843894958496094,11.744215965270996,136.856689453125
2022-02-07,43.572593688964844,47.30318069458008,57.084754943847656,11.848011016845703,137.3141632080078
2022-02-08,44.35405731201172,47.52640914916992,57.738525390625,12.432711601257324,139.89773559570312
2022-02-09,44.26422119140625,48.03767776489258,58.35788345336914,12.463850021362305,140.48085021972656
2022-02-10,44.05763626098633,47.92966079711914,58.06540298461914,12.508828163146973,139.89773559570312
2022-02-11,43.04264450073242,46.73430633544922,57.76433563232422,12.453471183776855,138.07667541503906
2022-02-14,42.59353256225586,44.46599578857422,57.1707649230957,12.019269943237305,136.7938690185547
2022-02-15,42.92588806152344,45.74776840209961,57.63529586791992,12.124792098999023,138.79434204101562
2022-02-16,42.82707977294922,45.186092376708984,57.59228515625,12.008890151977539,139.0455322265625
2022-02-17,41.380943298339844,44.66041946411133,55.665367126464844,11.841090202331543,135.84300231933594
2022-02-18,41.28214645385742,44.588409423828125,55.1750373840332,11.732108116149902,136.47991943359375
2022-02-21,,43.9691276550293,,11.502032279968262,
2022-02-22,40.92285919189453,43.68829345703125,54.95998764038086,11.420727729797363,136.2377166748047
2022-02-23,40.22224426269531,42.881778717041016,54.38362121582031,11.135295867919922,133.38504028320312
2022-02-24,39.1623420715332,39.67015075683594,52.190059661865234,9.739275932312012,129.6711883544922
